horizon,variables,num_vars,r2_os_1pt,r2_os_2pt,delta_1pt_minus_2pt,winner
1d,Skewness + Fear and Greed Index + T-4 Return,3,-0.013149650158738035,-0.013167814709435621,1.8164550697585824e-05,1pt
1d,Mean + Median + T-2 Return + T-3 Return,4,-0.033571203852623244,-0.03358904085005121,1.783699742796685e-05,1pt
1d,Skewness + Fear and Greed Index,2,-0.009085020512840769,-0.009102360012622324,1.733949978155458e-05,1pt
1d,Kurtosis + T-3 Return,2,-0.00797180202649872,-0.007988867061911042,1.7065035412322516e-05,1pt
1d,Skewness + VIX + T-2 Return + T-3 Return,4,-0.010812896898459323,-0.010829557951043789,1.6661052584465708e-05,1pt
1d,Mean + Median + T-2 Return,3,-0.031967893752665955,-0.03198448651964192,1.659276697596468e-05,1pt
1d,Mean + Kurtosis + Median + VIX,4,-0.03464750811817652,-0.034663337797855354,1.5829679678835973e-05,1pt
1d,Skewness + T-3 Return,2,-0.005472007519072619,-0.005487652089960049,1.5644570887429765e-05,1pt
1d,Mean + Median + VIX + T-3 Return,4,-0.029396951381688963,-0.029412519755227517,1.556837353855478e-05,1pt
1d,Skewness + T-3 Return + T-4 Return,3,-0.010408329371351943,-0.010423517575698149,1.5188204346205936e-05,1pt
1d,Mean + Median + VIX,3,-0.02812624498296401,-0.028141050088826836,1.480510586282513e-05,1pt
1d,Kurtosis + VIX + T-3 Return,3,-0.00890682562041234,-0.008921594103173724,1.476848276138476e-05,1pt
1d,Mean + Median + T-3 Return,3,-0.02856487457191692,-0.028579438300169402,1.4563728252481312e-05,1pt
1d,Mean + Median + T-2 Return + T-4 Return,4,-0.03540315639736402,-0.0354176961634618,1.4539766097776408e-05,1pt
1d,Mean + Median + Fear and Greed Index + T-3 Return,4,-0.03566382554775438,-0.03567830346551637,1.4477917761990255e-05,1pt
1d,Mean + Median + Fear and Greed Index + T-2 Return,4,-0.03967893826502977,-0.039692909233282725,1.3970968252952076e-05,1pt
1d,Mean + Median,2,-0.0275678212830317,-0.02758166866181022,1.3847378778519825e-05,1pt
