model_id,variables,num_variables,n_obs,rsquared,adj_rsquared,aic,bic,core_factors,core_factor_min_pvalue,pass_pvalue_screen
model_0123,Skewness + VIX + T-1 Return + T-4 Return,4,1196,0.02991443752203904,0.02665638357584943,-4954.38661340634,-4928.952923733787,Skewness,1.9643345964433974e-08,True
model_0081,Skewness + Std + Fear and Greed Index + VIX,4,1196,0.029569160171793785,0.026309946603940815,-4953.961003280335,-4928.527313607782,Skewness,2.028055489526724e-08,True
model_0032,Skewness + Fear and Greed Index + VIX,3,1196,0.029102567509218913,0.026659033702614687,-4955.386092954098,-4935.039141216055,Skewness,2.130656379543121e-08,True
model_0205,Skewness + Std + Fear and Greed Index + VIX + T-4 Return,5,1196,0.030240150537946597,0.02616552932171945,-4952.788246204797,-4922.267818597734,Skewness,2.1643255449237757e-08,True
model_0202,Skewness + Std + Fear and Greed Index + VIX + T-1 Return,5,1196,0.030638635621504706,0.026565688712351432,-4953.279796875527,-4922.759369268463,Skewness,2.2508932271222972e-08,True
model_0114,Skewness + Fear and Greed Index + VIX + T-4 Return,4,1196,0.02974988813962054,0.02649128155066882,-4954.183760812898,-4928.750071140345,Skewness,2.275563554243831e-08,True
model_0111,Skewness + Fear and Greed Index + VIX + T-1 Return,4,1196,0.030224157474063373,0.02696714372922393,-4954.7685222012815,-4929.334832528729,Skewness,2.3596220927669113e-08,True
model_0244,Skewness + Fear and Greed Index + VIX + T-1 Return + T-4 Return,5,1196,0.030860235685187587,0.026788219868738805,-4953.553238735732,-4923.032811128668,Skewness,2.5173279227390107e-08,True
model_0559,Skewness + Kurtosis + Mean + Std + Median,5,1196,0.03732374500660163,0.0332788867923437,-4961.5564708419,-4931.036043234836,Skewness + Kurtosis,4.918927886816623e-07,True
model_0648,Skewness + Kurtosis + Mean + Std + Median + T-4 Return,6,1196,0.0379096374140897,0.03305468184174709,-4960.284587523266,-4924.677421981692,Skewness + Kurtosis,5.11034904576155e-07,True
model_0646,Skewness + Kurtosis + Mean + Std + Median + T-2 Return,6,1196,0.03989544777231446,0.035050513110105874,-4962.755752143542,-4927.1485866019675,Skewness + Kurtosis,5.177766215208188e-07,True
model_0644,Skewness + Kurtosis + Mean + Std + Median + VIX,6,1196,0.03863232892600443,0.03378102024102225,-4961.183322066777,-4925.576156525202,Skewness + Kurtosis,5.706838644402635e-07,True
model_0524,Skewness + Kurtosis + Mean + Median,4,1196,0.03438160297208259,0.031138552100452244,-4959.906816365937,-4934.473126693384,Skewness + Kurtosis,8.393609118501949e-07,True
model_0571,Skewness + Kurtosis + Mean + Median + T-4 Return,5,1196,0.03493530283959412,0.030880409154046218,-4958.592817151556,-4928.072389544493,Skewness + Kurtosis,8.735689200217595e-07,True
model_0569,Skewness + Kurtosis + Mean + Median + T-2 Return,5,1196,0.036977941182415486,0.03293163001091304,-4961.12693172333,-4930.6065041162665,Skewness + Kurtosis,8.811828977963058e-07,True
